term	reading	rank	meaning
見せる	ミセル	203	to show; to display
動く	ウゴク	204	to move; to stir; to shift; to shake; to swing
となる	トナル	205	to become; to be
はず	ハズ	206	should (be); bound (to be); expected (to be); must (be)
子	コ	207	child; kid; teenager; youngster; young (non-adult) person
歩く	アルク	208	to walk
こちら	コチラ	209	this way; this direction
きっと	キット	210	surely; undoubtedly; almost certainly; most likely (e.g. 90 percent)
意味	イミ	211	meaning; significance; sense
終わる	オワル	212	to end; to come to an end; to finish; to close; to be over
変わる	カワル	213	to change; to be transformed; to be altered; to vary
すぐに	スグニ	214	immediately; right away; at once; instantly
とき	トキ	215	time; hour; moment
気持ち	キモチ	216	feeling; sensation; mood; state of mind
始める	ハジメル	217	to start; to begin; to commence; to initiate; to originate
大きい	オオキイ	218	big; large; great
ことになる	コトニナル	219	to have been decided (so) that; to have been arranged (so) that
向かう	ムカウ	220	to face
何も	ナニモ	221	(not) anything; (nothing) at all; (not) any; nothing
受ける	ウケル	222	to receive; to get
日	ヒ	223	day; days
年	ネン	224	year
心配	シンパイ	225	worry; concern; anxiety; uneasiness; fear
教える	オシエル	226	to teach; to instruct
心	ココロ	227	mind; heart; spirit
立つ	タツ	228	to stand (up); to rise; to get to one's feet; to stand on end (e.g. of hairs); to stick up
おる	オル	229	to weave
やめる	ヤメル	230	to stop (an activity); to cease; to discontinue; to end; to quit
外	ソト	231	outside; exterior
間	アイダ	232	space (between); gap; interval; distance; stretch
について	ニツイテ	233	about; on; regarding; concerning
よりも	ヨリモ	234	than; in comparison to
後	アト	235	behind; rear
様子	ヨウス	236	state (of affairs); situation; circumstances
忘れる	ワスレル	237	to forget; to leave carelessly; to be forgetful of; to forget about; to forget (an article)
口	クチ	238	mouth
にとって	ニトッテ	239	to; for; from the standpoint of; as far as ... is concerned
名前	ナマエ	240	name
大きな	オオキナ	241	big; large; great
信じる	シンジル	242	to believe; to believe in; to place trust in; to confide in; to have faith in
すぎる	スギル	243	to pass through; to pass by; to go beyond
なのに	ナノニ	244	
生きる	イキル	245	to live; to exist
問題	モンダイ	246	question (e.g. on a test); problem
理由	リユウ	247	reason; grounds; pretext; excuse; motive
それでも	ソレデモ	248	but (still); and yet; nevertheless; even so; notwithstanding
これから	コレカラ	249	from now on; after this; in the future; in future
以上	イジョウ	250	not less than ...; ... and over; ... and above; ... and upwards; ... or more
逃げる	ニゲル	251	to run away; to flee; to get away (e.g. from danger); to escape; to break out; to leave (e.g. one's spouse); to take cover
多い	オオイ	252	many; numerous; a lot
そういう	ソウイウ	253	such; like that; that sort of
絶対	ゼッタイ	254	absolutely; definitely; unconditionally
開く	ヒラク	255	to open; to undo; to unseal; to unpack
今度	コンド	256	this time; now
最後	サイゴ	257	end; conclusion
最初	サイショ	258	beginning; outset; first; onset
こそ	コソ	259	it is ... that ...; precisely; in particular; definitely; for sure; only (when, after, because, etc.)
存在	ソンザイ	260	existence; being; presence
誰か	ダレカ	261	someone; somebody
初めて	ハジメテ	262	for the first time
書く	カク	263	to write; to compose; to pen
取る	トル	264	to take; to pick up; to grab; to catch; to hold
高い	タカイ	265	high; tall
もちろん	モチロン	266	of course; certainly; naturally
かも	カモ	267	may; might; perhaps; may be; possibly
べき	ベキ	268	should; must; ought to
入れる	イレル	269	to put in; to let in; to take in; to bring in; to insert; to install (e.g. software); to set (a jewel, etc.); to ink in (e.g. tattoo)
体	カラダ	270	body
答える	コタエル	271	to answer; to reply
そのまま	ソノママ	272	without change; as is
置く	オク	273	to put; to place
覚える	オボエル	274	to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember
あり	アリ	275	ant
無理	ムリ	276	unreasonable; unnatural; unjustifiable
ご	ゴ	277	five; 5
残る	ノコル	278	to remain; to be left
いけない	イケナイ	279	bad; wrong; naughty
長い	ナガイ	280	long (distance, length)
普通	フツウ	281	normal; ordinary; regular; usual; common; average
どういう	ドウイウ	282	what kind of; what sort of; what
守る	マモル	283	to protect; to guard; to defend
とても	トテモ	284	very; awfully; exceedingly
楽しい	タノシイ	285	enjoyable; fun; pleasant; happy; delightful
どこか	ドコカ	286	somewhere
夜	ヨル	287	night; evening
感じ	カンジ	288	feeling; sense; impression
気	キ	289	spirit; mind; heart
許す	ユルス	290	to permit; to allow; to approve; to consent to
もし	モシ	291	if; in case; supposing
驚く	オドロク	292	to be surprised; to be taken aback; to be amazed; to be astonished; to be shocked
別に	ベツニ	293	(not) particularly; (not) especially; (not) specially
離れる	ハナレル	294	to be separated; to be apart; to be distant
いつ	イツ	295	when; at what time; how soon
消える	キエル	296	to disappear; to vanish; to go out of sight; to go away; to become lost
助ける	タスケル	297	to save; to rescue; to spare
止める	トメル	298	to stop; to turn off
困る	コマル	299	to be troubled; to have difficulty; to be in a fix; to be at a loss; to be stumped; to be embarrassed
かかる	カカル	300	to take (a resource, e.g. time or money)
人	ニン	302	counter for people
中	チュウ	303	medium (size); average (grade, level, etc.); middle
方	カタ	304	direction; way
飲む	ノム	305	to drink; to swallow; to take (medicine)
走る	ハシル	306	to run
以外	イガイ	307	excluding; except (for); apart from; other than; besides; in addition to
下	シタ	308	below; down; under; younger (e.g. daughter)
買う	カウ	309	to buy; to purchase
足	アシ	310	foot; paw; arm (of an octopus, squid, etc.)
説明	セツメイ	311	explanation; exposition; description; account; caption; legend
読む	ヨム	312	to read
女性	ジョセイ	313	woman; female
落ちる	オチル	314	to fall; to drop; to come down; to crash; to collapse; to cave in; to give way
このまま	コノママ	315	
つける	ツケル	316	to soak (in); to steep; to dip; to dunk
起きる	オキル	317	to get up; to rise; to blaze up (fire)
あまり	アマリ	318	remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers
ことができる	コトガデキル	319	to be able (to); to be possible (to)
続く	ツヅク	320	to continue; to last; to go on
すぐ	スグ	321	immediately; at once; right away; directly
決める	キメル	322	to decide; to choose; to determine; to make up one's mind; to resolve; to set one's heart on; to settle; to arrange; to set; to appoint; to fix
でもない	デモナイ	323	is not ... either; is (neither ...) nor ...; nor is it ...; is not even ...
状況	ジョウキョウ	324	state of affairs; situation; conditions; circumstances
関係	カンケイ	325	relation; relationship; connection
ことがある	コトガアル	326	(for something) to have occurred; to have done (something)
いただく	イタダク	327	to receive; to get; to accept; to take; to buy
先	サキ	328	point; tip; end; nozzle
伝える	ツタエル	329	to convey; to report; to transmit; to communicate; to tell; to impart; to propagate; to teach; to bequeath
ようになる	ヨウニナル	330	to reach the point where ...; to come to ...; to come to be that ...; to start to ...; to begin to ...
先に	サキニ	331	previously; before; earlier; formerly; recently
夢	ユメ	332	dream
誰も	ダレモ	333	everyone; anyone
小さい	チイサイ	334	small; little; tiny
選ぶ	エラブ	335	to choose; to select; to pick (out)
こういう	コウイウ	336	such; this sort of; like this
理解	リカイ	337	understanding; comprehension; appreciation
ですが	デスガ	338	but; however; (and) yet; nevertheless; still; for all that
場合	バアイ	339	case; occasion; situation; circumstances
得る	エル	340	to get; to earn; to acquire; to procure; to gain; to secure; to attain; to obtain; to win
深い	フカイ	341	deep
見つける	ミツケル	342	to find; to discover; to come across; to spot; to catch (someone doing)
一度	イチド	343	once; one time; on one occasion
ほしい	ホシイ	344	wanting (to have); desiring; wishing for
なぜ	ナゼ	345	why; how; for what reason
昔	ムカシ	346	the old days; the past; former times; a long time ago
水	ミズ	347	water (esp. cool or cold)
近く	チカク	348	near; neighbourhood; neighborhood; vicinity
進む	ススム	349	to advance; to go forward
大変	タイヘン	350	very; greatly; terribly; awfully
としても	トシテモ	351	even if ...; even supposing that ...
道	ミチ	352	road; path; street; lane; passage
簡単	カンタン	353	simple; easy; uncomplicated
変える	カエル	354	to change; to alter; to transform; to convert; to turn; to vary
別	ベツ	355	distinction; difference; discrimination
なので	ナノデ	356	
本	ホン	357	book; volume; script
完全	カンゼン	358	perfect; complete
状態	ジョウタイ	359	state; condition; situation; appearance; circumstances
しっかり	シッカリ	360	tightly (holding on); firmly; securely
行う	オコナウ	361	to perform; to do; to conduct oneself; to carry out
送る	オクル	362	to send; to dispatch; to forward; to transmit; to ship; to remit
形	カタチ	363	(physical) form; shape; figure
上げる	アゲル	364	to raise; to elevate
近づく	チカヅク	365	to approach; to draw near; to get close
乗る	ノル	366	to get on (train, plane, bus, ship, etc.); to get in; to board; to take; to embark
与える	アタエル	367	to give (esp. to someone of lower status); to bestow; to grant; to confer; to present; to award
勝手	カッテ	368	one's own convenience; one's way; selfishness
的	テキ	369	-ical; -ive; -al; -ic; -y
結果	ケッカ	370	result; consequence; outcome; effect
ために	タメニ	371	for; for the sake of; to one's advantage; in favor of; in favour of; on behalf of
朝	アサ	372	morning
新しい	アタラシイ	373	new; novel; fresh; recent; latest; up-to-date; modern
急	キュウ	374	sudden; abrupt; unexpected
ようにする	ヨウニスル	375	to see to it that ...; to make sure that ...; to try to ...; to make an effort to ...
自分で	ジブンデ	376	by myself; in person; by oneself
元	モト	377	origin; source; beginning
最近	サイキン	378	recently; lately; these days; nowadays; right now
大	ダイ	379	large; big; great; huge; vast; major; important; serious; severe
決まる	キマル	380	to be decided; to be settled; to be fixed; to be arranged
準備	ジュンビ	381	preparation; arrangements; getting ready; provision; setup; reserving
近い	チカイ	382	near; close; short (distance)
失う	ウシナウ	383	to lose
不安	フアン	384	anxiety; uneasiness; worry; apprehension; fear; insecurity; suspense
残す	ノコス	385	to leave (behind)
安心	アンシン	386	peace of mind; relief; (sense of) security; safety; assurance; confidence
大事	ダイジ	387	important; serious; crucial
ほとんど	ホトンド	388	almost; nearly; mostly; practically; virtually; basically; just about; all but
認める	ミトメル	389	to recognize; to recognise; to observe; to notice
特に	トクニ	390	particularly; especially; in particular; expressly
求める	モトメル	391	to want; to wish for
用意	ヨウイ	392	preparation; arrangements; provision; getting ready; laying out (e.g. a meal)
少ない	スクナイ	393	few; little; small (amount); low; scarce; insufficient; seldom; rare
まず	マズ	394	first (of all); firstly; to begin with; before anything else
ことにする	コトニスル	395	to decide to
始まる	ハジマル	396	to begin; to start; to commence
家族	カゾク	397	family
似る	ニル	398	to resemble; to look like; to be like; to be alike; to be similar; to take after
用	ヨウ	399	business; task; errand; engagement
元気	ゲンキ	400	lively; full of spirit; energetic; vigorous; vital; spirited
後	ゴ	401	after
に対して	ニタイシテ	402	towards; against; regarding; in contrast with
生む	ウム	403	to give birth; to bear (child); to lay (eggs)
思い	オモイ	404	thought
なかなか	ナカナカ	405	very; considerably; easily; readily; fairly; quite; highly; rather
たくさん	タクサン	406	a lot; lots; plenty; many; a large number; much; a great deal; a good deal
目的	モクテキ	407	purpose; goal; aim; objective; intention; motive
合う	アウ	408	to come together; to merge; to unite; to meet
生活	セイカツ	409	life; living
方法	ホウホウ	410	method; way; manner; process; procedure; means; measure
なくなる	ナクナル	411	to die; to pass away
切る	キル	412	to cut; to cut through; to perform (surgery)
分	ブン	413	part; portion; share
つく	ツク	414	to take (seat, position, course, office, etc.); to assume; to be hired; to be employed
としては	トシテハ	415	
十分	ジュウブン	416	enough; sufficient; plenty; adequate; satisfactory
働く	ハタラク	417	to work; to labor; to labour
若い	ワカイ	418	young; youthful
歳	サイ	419	... years old; age (of) ...
調べる	シラベル	420	to examine; to look up; to investigate; to check up; to sense; to study; to inquire; to search
急ぐ	イソグ	421	to hurry; to rush; to hasten; to make something happen sooner
必ず	カナラズ	422	always; without exception; necessarily; certainly; without fail; positively; invariably
かどうか	カドウカ	423	whether (or not); if
途中	トチュウ	424	on the way; en route
側	ガワ	425	side (of something, or taking someone's side); part
見つかる	ミツカル	426	to be found; to be discovered
重い	オモイ	427	heavy; weighty
期待	キタイ	428	expectation; anticipation; hope
集まる	アツマル	429	to gather; to collect; to assemble
その後	ソノアト	430	
とる	トル	431	
ないと	ナイト	432	
考え	カンガエ	433	thinking; thought; view; opinion; concept
住む	スム	434	to live (of humans); to reside; to inhabit; to dwell; to abide
大切	タイセツ	435	important; significant; serious; crucial
毎日	マイニチ	436	every day; daily
広い	ヒロイ	437	spacious; vast; wide
やすい	ヤスイ	438	
自由	ジユウ	439	freedom; liberty
になると	ニナルト	440	when it becomes; when it comes to
ないか	ナイカ	441	internal medicine
原因	ゲンイン	442	cause; origin; source
けど	ケド	443	but; however; although
俺	オレ	444	I; me
ああ	アア	445	ah!; oh!; alas!
はい	ハイ	446	yes; that is correct
じゃ	ジャ	447	then; well; so; well then
うん	ウン	448	yes; yeah; uh huh
お前	オマエ	449	you
彼女	カノジョ	450	she; her
みたい	ミタイ	451	-like; sort of; similar to; resembling
大丈夫	ダイジョウブ	452	safe; secure; sound; problem-free; without fear; all right; alright; OK; okay
ちゃん	チャン	453	
よね	ヨネ	454	isn't that right?
わかる	ワカル	455	to understand; to comprehend; to grasp; to see; to get; to follow
え	エ	456	eh?; what?; oh?
あっ	アッ	457	ah; oh
僕	ボク	458	I; me
なんか	ナンカ	459	something; some; any
ください	クダサイ	460	please (give me)
笑う	ワラウ	461	to laugh
なんだ	ナンダ	462	
じゃあ	ジャア	464	then; well; so; well then
分かる	ワカル	465	to understand; to comprehend; to grasp; to see; to get; to follow
様	サマ	466	Mr; Mrs; Miss; Ms
まあ	マア	467	"just (e.g. ""just wait here""); come now; now, now"
だろ	ダロ	468	seems; I think; I guess; I wonder; I hope
ええ	エエ	469	yes; that is correct; right
女	オンナ	470	woman; female
君	キミ	471	you; buddy; pal
君	クン	472	Mr; master; boy
だけど	ダケド	473	but; however; although
二人	フタリ	474	two persons; two people; pair; couple
者	モノ	475	person
やっぱり	ヤッパリ	476	as expected; sure enough; just as one thought
でしょ	デショ	477	it seems; I think; I guess; I wonder
えっ	エッ	478	
ちゃんと	チャント	479	diligently; seriously; earnestly; reliably; steadily; legitimately
こっち	コッチ	480	this way; this direction
すごい	スゴイ	481	terrible; dreadful
確かに	タシカニ	482	
聞こえる	キコエル	483	to be heard; to be audible; to reach one's ears
なんで	ナンデ	484	why?; what for?
先生	センセイ	485	teacher; instructor; master
だろうか	ダロウカ	486	don't you think?; indicates question
まさか	マサカ	487	by no means; never!; well, I never!; you don't say!; no way!
ようだ	ヨウダ	488	
ねえ	ネエ	489	right?; isn't it?; doesn't it?; don't you?; don't you think?
そうだ	ソウダ	490	that is so; that is right; it looks to me; that's my impression
なんです	ナンデス	491	it is assuredly that ...; can say with confidence that ...
けれど	ケレド	492	but; however; although
なに	ナニ	493	what
まるで	マルデ	494	as if; as though; just like; much as; exactly like; as it were
他	ホカ	495	another place; some other place; somewhere else; outside
殺す	コロス	496	to kill; to slay; to murder; to slaughter
事	コト	497	thing; matter
じゃないか	ジャナイカ	498	isn't it?
胸	ムネ	499	chest; breast
さっき	サッキ	500	a short while ago; a moment ago; just now; some time ago
思い出す	オモイダス	502	to recall; to remember; to recollect
へと	ヘト	503	
あんた	アンタ	504	you
おい	オイ	505	hey!; say!; I say!; come on!; look!; oi!
一番	イチバン	506	number one; first; first place
一人	ヒトリ	507	one person
ありがとう	アリガトウ	508	thank you; thanks
そうか	ソウカ	509	
頼む	タノム	510	to request; to beg; to ask
一つ	ヒトツ	511	one
表情	ヒョウジョウ	512	facial expression; countenance
ごめん	ゴメン	513	I'm sorry; my apologies; excuse me; pardon me
怖い	コワイ	514	scary; frightening; eerie; dreadful
良い	ヨイ	515	good; excellent; fine; nice; pleasant; agreeable
ゆっくり	ユックリ	516	slowly; unhurriedly; without haste; leisurely; at one's leisure
つまり	ツマリ	517	that is to say; that is; in other words; I mean; that (this, it) means
だったら	ダッタラ	518	if it's the case
腕	ウデ	519	arm
それから	ソレカラ	520	and then; after that
ほら	ホラ	521	look!; see!; here!; there!; hey!
あ	ア	522	ah; oh
欲しい	ホシイ	523	wanting (to have); desiring; wishing for
やはり	ヤハリ	524	as expected; sure enough; just as one thought
確認	カクニン	525	confirmation; verification; validation; review; check; affirmation; identification
そうです	ソウデス	526	that is so; that is right; it looks to me; that's my impression
全部	ゼンブ	527	all; entire; whole; altogether
何度	ナンド	528	how many times
そんなに	ソンナニ	529	so much; so; like that
ほう	ホウ	530	
子供	コドモ	531	child; children
二	ニ	532	two; 2
光	ヒカリ	533	light
おかしい	オカシイ	534	funny; amusing; comical; laughable; ridiculous
寝る	ネル	535	to sleep (lying down)
なのだ	ナノダ	536	it is assuredly that ...; can say with confidence that ...
なるほど	ナルホド	537	I see; that's right; indeed
もん	モン	538	person
小さな	チイサナ	539	small; little; tiny
瞬間	シュンカン	540	moment; instant; second
気がする	キガスル	541	
今まで	イママデ	542	until now; till now; up to now; up to the present; so far
優しい	ヤサシイ	543	tender; kind; gentle; graceful; affectionate; amiable
嫌	イヤ	544	disliking; not wanting; unwilling (to do); reluctant
あいつ	アイツ	545	he; she; that guy
ううん	ウウン	546	um; er; well
明日	アシタ	547	tomorrow
泣く	ナク	548	to cry; to shed tears; to weep; to sob
頑張る	ガンバル	549	to persevere; to persist; to keep at it; to hang on; to hold out; to do one's best
怒る	オコル	550	to get angry; to get mad; to lose one's temper
はずだ	ハズダ	551	
あんな	アンナ	552	that sort of; that kind of; like that; such; so
娘	ムスメ	553	daughter
今回	コンカイ	554	this time; now
やつ	ヤツ	555	fellow; guy; chap
昨日	キノウ	556	yesterday
ですから	デスカラ	557	so; therefore; accordingly; consequently; on those grounds; that is why; for that reason
かしら	カシラ	558	I wonder; do you think?; I might; how about
変	ヘン	559	strange; odd; peculiar; weird; curious; eccentric; funny; suspicious; fishy
探す	サガス	560	to search for; to look for; to hunt for; to seek
しかも	シカモ	561	moreover; furthermore
返す	カエス	562	to return (something); to restore; to put back
国	クニ	563	country; state
なあ	ナア	564	hey; listen; look; say
当然	トウゼン	565	natural; right; proper; just; reasonable; appropriate; deserved
座る	スワル	566	to sit (down); to have a seat; to be seated; to kneel (on the floor)
でしょうか	デショウカ	567	don't you think?; indicates question
つつ	ツツ	568	
ではある	デハアル	569	
黙る	ダマル	570	to be silent; to say nothing
気づく	キヅク	571	to notice; to realize; to realise; to become aware (of); to perceive; to sense; to suspect
しばらく	シバラク	572	for a moment; for a minute
いえ	イエ	573	no
隠す	カクス	574	to hide; to conceal
気になる	キニナル	575	
奥	オク	576	inner part; interior; back (of a drawer, one's throat, etc.); depths (e.g. of a forest); recesses (e.g. of a cave); heart; end (of a road, garden, etc.)
向ける	ムケル	577	to turn (towards); to face; to point; to aim; to direct to
笑顔	エガオ	578	smiling face; smile
かなり	カナリ	579	considerably; fairly; quite; rather; pretty
軽い	カルイ	580	light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily)
目の前	メノマエ	581	before one's eyes; in front of one; under one's nose
お願い	オネガイ	582	request; favour (to ask); wish
開ける	アケル	583	to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock
せい	セイ	584	system; organization; organisation; imperial command; laws; regulation; control; government; suppression; restraint; holding back; establishment
まったく	マッタク	585	really; truly; entirely; completely; wholly; perfectly
女の子	オンナノコ	586	girl; daughter; baby girl
こんなに	コンナニ	587	so; like this; in this way; this much; to this extent
しかない	シカナイ	588	having no choice but to ...; all one can do is ...; there's nothing to do except ...
